id,judul_asli,judul_display,sinopsis_asli,genre,tanggal_rilis,rating,popularitas,bahasa_asli,judul_clean,sinopsis_clean
1084242,Zootopia 2,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De’Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Animation, Family, Comedy, Adventure",2025-11-26,7.7,512.6445,en,zootopia,cracking biggest case zootopia history rookie cops judy hopps nick wilde find twisting trail great mystery gary de snake arrives turns animal metropolis upside crack case judy nick must go undercover unexpected new parts town growing partnership tested like never
533533,TRON: Ares,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.","Science Fiction, Adventure, Action",2025-10-08,6.503,458.1744,en,tron ares,highly sophisticated program called ares sent digital world real world dangerous mission marking humankind first encounter beings
1180831,Troll 2,Troll 2,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.","Action, Fantasy, Thriller",2025-11-30,7.0,450.8549,no,troll,dangerous new troll unleashes devastation across homeland nora andreas major kris embark perilous mission yet
1083637,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,Kantara - A Legend: Chapter 1,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.","Action, Drama, Fantasy",2025-10-01,7.4,318.3417,kn,kantara legend chapter,kadamba reign king vijayendra ruler fictional feudatory land bangra meets final fate venturing mystical forest kantara witnessing son rajashekara seals borders realm later prince kulashekara reopens brutal massacre protagonist berme search prosperity crosses divide ignites conflict faith power destiny kingdom nature
1419406,捕风追影,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action, Crime, Thriller",2025-08-16,6.419,228.8981,zh,shadow edge,macau police brings tracking expert police officer retirement help catch dangerous group professional thieves
949709,危机航线,High Forces,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?","Action, Crime",2024-09-29,6.04,243.9219,zh,high forces,anyone mysterious message gao haojun comes ten thousand meters air five star ultra luxury airliner hijacked international maiden voyage international security expert gao haojun stood group thugs daughter xiaojun trapped cabin mike leader hijackers threatened lives people plane bargaining chip xiaojun mother fu yuan also danger passengers board able land safely crisis resolved
1246049,Dracula,Dracula,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.","Horror, Fantasy, Romance",2025-07-30,7.096,248.9951,fr,dracula,th century prince denounces god devastating loss wife inherits eternal curse becomes dracula condemned wander centuries defies fate death guided single hope reunited lost love
1448560,Wildcat,Wildcat,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,"Action, Thriller, Crime",2025-11-19,6.2,240.0653,en,wildcat,ex black ops team reunite pull desperate heist order save life leader eight year old daughter
1033462,749局,Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,"Action, Adventure, Science Fiction",2024-10-01,6.0,201.7229,zh,bureau,traumatized young man physical abnormalities forced join mysterious bureau confront disaster spreading across earth caused unknown creature embarks adventure uncovering mysteries life
1242898,Predator: Badlands,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","Action, Science Fiction, Adventure",2025-11-05,7.4,190.6551,en,predator badlands,cast clan young predator finds unlikely ally damaged android embarks treacherous journey search ultimate adversary
1469354,Border Hunters,Border Hunters,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge","Action, Thriller",2025-10-20,8.571,153.8777,en,border hunters,police officer brother killed drug dealer flees protection cartel connected uncle mexico american man diverse law enforcement military background goes south border get revenge
1309012,Altered,Altered,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.","Science Fiction, Action",2025-09-18,6.583,178.9249,en,altered,alternate present genetically enhanced humans dominate society outcasts leon chloe fight justice corrupt politicians exploiting genetic disparity risking everything challenge oppressive system
1363123,The Family Plan 2,The Family Plan 2,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.","Action, Comedy",2025-11-11,6.672,137.5241,en,family plan,dan assassin days behind wants christmas quality time kids learns daughter plans books family trip london putting crosshairs unexpected enemy
755898,War of the Worlds,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","Science Fiction, Thriller",2025-07-29,4.3,147.0975,en,war worlds,radford top analyst homeland security tracks potential threats mass surveillance program one day attack unknown entity leads question whether government hiding something rest world
